Job ID,Job Category,Required Skills,Location Type,Experience (Years),Estimated Monthly Salary (BDT),Other Key Qualifications,Trend Ref. (Approx. Year)
277,Robotics Process Automation (RPA) Business Analyst,"Identifying automation opportunities, calculating ROI, creating Process Design Documents (PDD)",On-site/Hybrid,3-6,"70,000 - 130,000",Bridging business needs with RPA capabilities.,2020-Present
278,Mid-Level Database Administrator (PostgreSQL),"PostgreSQL optimization, replication, backups, query tuning, PL/pgSQL",On-site/Hybrid,3-6,"60,000 - 120,000",Rising demand due to the popularity of open-source databases.,2018-Present
279,Mobile App Developer (Flutter/Dart),"Flutter Framework, Dart, Cross-platform development, State Management (Provider/Riverpod)",Remote/Hybrid,2-4,"55,000 - 100,000",High growth since 2020 due to development speed.,2020-Present
280,Technical Interviewer / Hiring Consultant,"Assessing candidate technical skills, designing interview rounds, specialized in a niche stack (e.g., Python/ML)",Remote,5+,"80,000 - 150,000 (Consultancy Fee Basis)",Consulting role for fast-growing companies that need hiring help.,2021-Present
281,SAP Basis Consultant,"SAP installation, patching, system monitoring, transport management system (TMS)",On-site/Hybrid,5-9,"130,000 - 280,000",Specialized infrastructure role for SAP customers.,2016-Present
282,IT Project Coordinator (Legacy/Waterfal),"Gantt Charts, Status Reporting, Budget tracking, strictly adherence to sequential methodology",On-site,3-5,"50,000 - 90,000",Used in traditional government or large infrastructure projects.,2015-2018
283,Cybersecurity Forensics Investigator,"Chain of custody, volatile data collection, forensic tools (EnCase, FTK), evidence analysis",On-site,5-8,"110,000 - 220,000",Niche role for responding to major security incidents.,2020-Present
284,Senior Data Analyst (SQL Mastery),"Complex nested SQL queries, stored procedures, data validation, performance optimization",Remote/Hybrid,5-8,"90,000 - 180,000",Deep technical role supporting core business intelligence.,2017-Present
285,Junior Cloud Engineer (Networking Focus),"Basic VPC/VNet setup, Firewall rules, Subnetting, Load Balancer configuration",On-site/Hybrid,1-3,"40,000 - 70,000",Entry point for traditional network admins moving to cloud.,2020-Present
286,Computer Graphics Programmer (VFX/Animation),"Python scripting (Maya/Blender), procedural content generation, rendering pipeline optimization",Remote,4-7,"80,000 - 160,000",Niche in local film/animation industry or international outsourcing.,2018-Present
287,Web Scraping Engineer (Legal/Ethical),"Advanced anti-ban techniques, large-scale data harvesting, compliance with terms of service",Remote,3-6,"70,000 - 130,000",Used by large market research and competitive intelligence firms.,2020-Present
288,Lead UI Designer (Atomic Design),"Defining the Atomic Design methodology, component states, documentation, design token usage",Remote/Hybrid,6+,"110,000 - 220,000","Focus on creating scalable, future-proof design systems.",2022-Present
289,IT Security Architect (Application),"Threat modeling (STRIDE), secure coding practices, DAST/SAST tool integration, secure SDLC",Remote/Hybrid,8+,"180,000 - 350,000",Designing security into the core application architecture.,2021-Present
290,Business Analyst (Digital Marketing Focus),"Gathering requirements for marketing automation, CRM integration, campaign tracking/reporting needs",Hybrid,3-6,"65,000 - 120,000",Focus on MarTech stack implementation.,2019-Present
291,"Desktop Support Technician (Field, L2)","Advanced OS/Hardware troubleshooting, network connectivity, Active Directory troubleshooting, ticket system management",On-site,3-5,"45,000 - 80,000",Requires ability to independently resolve issues.,2015-Present
292,Senior Python Developer (Data Science Focus),"Pandas, NumPy, Scikit-learn, ML model deployment (API), data wrangling",Remote/Hybrid,5-8,"120,000 - 240,000",Focus on productionizing machine learning models.,2020-Present
293,Technical Product Manager (Platform),"Managing APIs, internal tools, infrastructure products, backlog for engineering enablement",Remote/Hybrid,5-8,"110,000 - 220,000",Focus on internal technology and developer experience.,2021-Present
294,BPO Training Specialist (New Hire),"Onboarding new call center/data entry agents, soft skills training, process documentation",On-site,2-4,"40,000 - 70,000",Essential for rapid scaling of BPO operations.,2015-Present
295,Cloud Architect (Cost Optimization focus),"Reserved Instance/Savings Plan management, tagging strategies, resource rightsizing, budget alerting",Remote,5-8,"120,000 - 230,000",Strategic role focused purely on minimizing cloud spend.,2021-Present
296,System Integrator (Mid-level),"API management (e.g., Apigee), ESB/Middleware (e.g., Mulesoft), data transformation and mapping",On-site/Hybrid,3-6,"80,000 - 150,000",Essential for connecting diverse enterprise systems.,2017-Present
297,R&D Engineer (Telecommunication),"Researching new wireless standards (5G/6G), simulation tools (Matlab), patent generation",On-site,5-10,"150,000 - 300,000+",High-level research role in major telecom operators or vendors.,2018-Present
298,Full-Stack Developer (MERN/SaaS),"MongoDB, Express, React, Node.js, Stripe/Payment integration, multi-tenancy architecture",Remote/Hybrid,4-7,"90,000 - 180,000",High demand for building commercial Software-as-a-Service products.,2020-Present
299,IT Operations Director,"Overseeing all IT Infrastructure, Data Centers, Service Desk, Budgeting, and Team Management",On-site,12+,"250,000 - 500,000+",Executive-level leadership of the entire IT operation.,2015-Present
300,Academic Research Assistant (ICT),"Supporting Ph.D. students/Professors, data collection, literature review, basic statistical analysis",On-site,1-3,"30,000 - 50,000",Entry-level research role in university settings.,2015-Present
301,AI Prompt Engineer,"LLMs (GPT-4/Llama), Prompt Engineering, API Integration, Python, Creativity",Remote,2-5,"90,000 - 180,000",Focus on maximizing quality output from GenAI models.,
302,Cybersecurity Analyst (SOC L1),"SIEM Monitoring, Incident Triage, Log Analysis, Basic Networking (TCP/IP), Reporting",On-site (Night Shift),1-3,"45,000 - 80,000",Entry-level role in Security Operations Center.,2023-Present
303,HealthTech Product Manager,"Clinical Workflow Knowledge, EMR/EHR Systems, Healthcare Regulations, Agile/Scrum",Hybrid,5-9,"110,000 - 240,000",Niche role for digitizing local hospitals and clinics.,2020-Present
304,Senior Backend Developer (Rust/C++),"Rust or C++, High-performance Computing, Concurrency, Systems Programming",Remote,6+,"150,000 - 300,000+",Highly specialized for low-latency trading or blockchain.,2022-Present
305,Augmented Reality (AR) Developer,"Unity or Unreal Engine, C#/C++, Mobile AR (ARKit/ARCore), 3D Modeling basics",Remote/Hybrid,3-5,"70,000 - 140,000","Emerging in EdTech, retail, and gaming sectors.",2023-Present
306,FinOps Analyst,"Cloud Billing/Cost Management (AWS/Azure), Financial Modeling, Data Visualization (Power BI)",Remote,3-6,"80,000 - 150,000",Role focused entirely on cloud expenditure efficiency.,2021-Present
307,Junior Data Scientist (NLP Focus),"Python, NLTK/SpaCy, Transformers, Text Cleaning, Basic ML Algorithms",Remote,1-3,"45,000 - 85,000",Entry-level specialization in Natural Language Processing.,2022-Present
308,Senior Quality Assurance Lead (Performance),"JMeter/Gatling, Load Testing Strategy, Root Cause Analysis (APM tools), Mentorship",Hybrid,7+,"120,000 - 230,000",Focus on system stability under high load.,2021-Present
309,EdTech Instructional Designer,"Learning Management Systems (LMS), SCORM/xAPI, Graphic Design Tools, Adult Learning Theory",Remote/Hybrid,4-7,"60,000 - 110,000",Designing effective online courses and learning materials.,2019-Present
310,SAP FICO Consultant,"Financial Accounting (FI), Controlling (CO), Configuration, End-User Training",On-site,5-10,"150,000 - 350,000",High-value ERP specialization in Finance module.,2020-Present
311,Director of AI & ML,"Team Leadership, Research Strategy, Budget Management, Model Governance, MLOps",On-site/Hybrid,10+,"300,000 - 700,000+",Executive role driving the organization's AI adoption.,2015-Present
312,Full-Stack Developer (Ruby on Rails),"Ruby, Rails Framework, PostgreSQL/MySQL, JavaScript/jQuery (Legacy/Niche)",Remote/Hybrid,4-7,"80,000 - 160,000",Still used by international product companies and niche agencies.,2023-Present
313,Hardware/IoT Firmware Developer,"Embedded C/C++, Microcontrollers (Arduino/ESP32), Communication Protocols (MQTT/BLE)",On-site,3-6,"65,000 - 120,000",Required for local smart device manufacturing/R&D.,2016-Present
314,Senior DevOps Engineer (Security Focus),"DevSecOps, Static/Dynamic Analysis (SAST/DAST), Secrets Management (Vault), Pipeline Hardening",Remote,6+,"140,000 - 280,000",Integrating security throughout the CI/CD pipeline.,2019-Present
315,IT Auditor,"ISACA (CISA), IT General Controls (ITGC), Internal Audit Methodologies, Risk Assessment",On-site,4-7,"90,000 - 180,000","Ensuring controls are in place, especially in banks/FinTech.",2022-Present
316,Cloud Architect (Serverless/GCP Focus),"Google Cloud Functions, Cloud Run, BigQuery, Serverless design patterns",Remote,5-8,"130,000 - 250,000",Specialized in the Google Cloud ecosystem.,2017-Present
317,Digital Transformation Lead (Consulting),"Business Process Reengineering, Change Management, Technology Stack Selection, Stakeholder Management",On-site (Travel),8+,"200,000 - 400,000+",External consulting role driving major corporate changes.,2021-Present
318,UX Researcher (Qualitative/Quantitative),"User Interviews, Surveys, A/B Testing, Eye Tracking, Statistical Analysis (for quant.)",Remote/Hybrid,4-6,"70,000 - 130,000",Focus on evidence-based design decisions.,2019-Present
319,Junior Data Engineer (ETL),"SQL (Advanced), Basic Python, ETL Tools (Talend/Informatica), Data Warehousing basics",On-site,1-3,"40,000 - 75,000",Entry-level role building data pipelines.,2020-Present
320,Technical Writer (User Manuals/Help Docs),"MadCap Flare/Oxygen XML, Structured Content, Clear Prose, Technical Illustration",Remote/Hybrid,3-5,"50,000 - 90,000",Focused on end-user documentation and guides.,2018-Present
321,Data Scientist (Computer Vision),"OpenCV, Deep Learning (PyTorch/TensorFlow), Image Recognition, Object Detection",Remote,4-7,"120,000 - 250,000","Specialized in visual AI, used in security/manufacturing.",2015-Present
322,E-commerce Platform Architect (Magento),"Magento 2 (Advanced), PHP, Scalability, Payment Gateway Integration, CDN optimization",Remote,6+,"150,000 - 300,000",Highly paid specialization for large e-commerce platforms.,2022-Present
323,IT Support Specialist (International BPO),"English Fluency, Ticketing Systems (ServiceNow), Remote Desktop Support, Shift Work",Remote,2-4,"55,000 - 95,000",Servicing clients in the US/Europe/Australia.,2017-Present
324,Senior Frontend Developer (WebAssembly),"WebAssembly (Wasm), Rust/Go for Wasm, High-performance Web Graphics/Computation",Remote,5-8,"130,000 - 260,000","Niche, cutting-edge technology for web performance.",2016-Present
325,System Administrator (Linux/SRE Focus),"Red Hat/Ubuntu, Shell Scripting, Monitoring (Prometheus/Grafana), Automation (Ansible)",On-site/Hybrid,4-7,"90,000 - 180,000",Moving from traditional admin to Site Reliability Engineering (SRE).,2024-Present
326,Product Owner (AI/ML Focus),"Product Roadmap (ML), Feature Prioritization, LLM knowledge, Business Value realization",Remote/Hybrid,5-8,"120,000 - 240,000",Specializing in products driven by AI models.,2018-Present
327,Game Tester / QA (Manual),"Console/Mobile Testing, Bug Reporting (Jira/Trello), Test Case Execution, Attention to Detail",On-site,1-3,"30,000 - 50,000",Entry-level role in local game development studios.,2023-Present
328,Senior Full-Stack Developer (MERN/TypeScript),"MongoDB, Express, React, Node.js, TypeScript, Cloud Deployment",Remote/Hybrid,5-8,"110,000 - 210,000",Modern stack with a focus on type safety and scalability.,2019-Present
329,Digital Health Strategist (Govt.),"Public Health Policy, Interoperability Standards (HL7), Grant Management, Stakeholder Engagement",On-site,8+,"150,000 - 300,000+",High-level role driving national digital health initiatives.,2021-Present
330,Technical Account Manager (TAM),"Client Relationship Management, Technical Troubleshooting, Project Coordination, SLA adherence",Hybrid,4-7,"90,000 - 180,000",Post-sales role ensuring client technical success.,2020-Present
331,Senior Data Engineer (Airflow/Orchestration),"Apache Airflow, Data Pipeline Orchestration, Docker/Kubernetes, Data Quality Checks",Remote,6+,"140,000 - 280,000",Focus on scheduling and managing complex ETL workflows.,2018-Present
332,Blockchain Smart Contract Auditor,"Solidity, Ethereum/BNB Chain, Formal Verification Tools, Identifying Security Vulnerabilities (Reentrancy, etc.)",Remote,4-7,"150,000 - 350,000+","Highly specialized, high-pay security niche in Web3.",2021-Present
333,IT Instructor (Data Science/ML),"Teaching experience, Curriculum development, Python/R, Stats, Practical ML knowledge",On-site/Hybrid,3-6,"60,000 - 120,000",Required at bootcamps and universities.,2022-Present
334,Legacy Backend Developer (ColdFusion/Pascal),"Maintenance of highly specific, very old enterprise applications and databases",On-site,10+,"100,000 - 200,000",Extremely niche role in financial or large industrial sectors.,2018-Present
335,Cloud Security Specialist (AWS/Identity),"IAM, SSO, WAF/Security Groups, Compliance standards (HIPAA/PCI-DSS), Threat detection",Remote,5-8,"130,000 - 260,000",Focused on securing cloud environments and access.,2015-2017
336,IT Procurement Manager (Software/SaaS),"Licensing Agreements, Vendor Negotiation (Microsoft/Oracle), Budget Forecasting, Compliance",On-site/Hybrid,6+,"120,000 - 250,000",Focus on strategic sourcing of expensive software.,2020-Present
337,Junior Marketing Technologist (MarTech),"HubSpot/Salesforce Marketing Cloud, Basic HTML/CSS, Data Flows between Marketing Systems",Remote,1-3,"40,000 - 70,000",Bridging marketing strategy with technical tools.,2019-Present
338,Senior Full-Stack Developer (Go/React),"Golang, React/Redux, Microservices, Cloud Deployment (Docker/K8s)",Remote,6+,"140,000 - 280,000","High-performance, modern stack combining speed and flexibility.",2022-Present
339,Data Visualizer / Dashboard Specialist,"Tableau/Power BI/Looker Studio, SQL, Data Storytelling, User-centric Dashboard Design",Remote/Hybrid,3-5,"60,000 - 110,000",Focus on turning data insights into actionable visualizations.,2022-Present
340,Technical Sales Manager (B2B),"IT Services Sales, Solution Architecture, Proposal Writing, Client Presentation Skills",On-site/Hybrid,7+,"150,000 - 300,000 (Plus Commission)",High-stakes sales role targeting large enterprises.,2018-Present
341,RPA Technical Developer (Blue Prism/UiPath),"Advanced bot development, Orchestrator/Control Room management, Error handling framework",Remote/Hybrid,3-6,"80,000 - 160,000","Implementation of complex, resilient robotic processes.",2016-Present
342,Project Manager (Waterfall/Infrastructure),"Traditional PM skills, PMP Certification, managing hardware procurement, network deployment projects",On-site,5-9,"100,000 - 200,000","Found in organizations with rigid, fixed-scope projects.",2020-Present
343,Junior Frontend Developer (Bootstrap/jQuery),"HTML, CSS, JavaScript (basic), Bootstrap framework, website maintenance",On-site,1-2,"25,000 - 45,000",Maintaining small business/NGO websites. (Legacy role),2015-Present
344,AI/ML Researcher (Academic/Govt.),"Publication Record, Statistical Modeling, Grant Application, Collaboration with international universities",On-site,7+,"100,000 - 220,000",Focus on theoretical and applied research for public good.,2015-2018
345,Cloud Architect (Kubernetes/EKS/AKS),"Advanced Kubernetes concepts, Helm, Service Mesh, Cluster Security/Scaling",Remote,6+,"150,000 - 300,000",Specialized role for container orchestration at scale.,2019-Present
346,IT Compliance Analyst (GDPR/Data Privacy),"Data Privacy Regulations (GDPR/CCPA), Data Mapping, Privacy by Design implementation, Auditing",Remote,4-7,"90,000 - 180,000",Essential for companies handling international user data.,2020-Present
347,Technical Writer (Security Focus),"Writing security vulnerability reports, runbooks for incident response, compliance documentation",Remote,4-6,"70,000 - 130,000",Specialization in high-stakes security communication.,2020-Present
348,Senior Full-Stack Developer (Python/Angular),"Python (Django/Flask), Angular (Modern), REST API design, Unit/Integration Testing",Remote/Hybrid,6+,"120,000 - 240,000",Robust enterprise stack combining stability and modern frontend.,2021-Present
349,UX/UI Designer (Figma/Prototyping),"Figma/Sketch, Prototyping (Interaction Design), Wireframing, User-Centered Design Principles",Remote/Hybrid,2-4,"50,000 - 90,000",Standard modern UI/UX role.,2017-Present
350,IT Service Management (ITSM) Specialist,"ITIL Certification, Service Catalogue Management, Process Improvement, Change/Incident Management tools",On-site/Hybrid,5-8,"100,000 - 190,000",Focus on improving and managing IT service delivery.,2018-Present
351,Enterprise Resource Planning (ERP),"SAP S/4HANA, FICO/MM Module, ABAP",Urban Center,7,"185,000","SAP Certification, Stakeholder Management",
352,Cloud Solution Architecture,"AWS/Azure Architecture, Hybrid Cloud, FinOps",Urban Center,10,"250,000","Certified Cloud Architect, Business Strategy",T4
353,DevOps Engineering,"Kubernetes, Azure DevOps, Terraform, GitOps",Remote,6,"170,000","CI/CD pipeline specialization, Security focus",T4
354,Data Engineering,"Spark, Databricks, ETL, Data Warehousing (DW)",Urban Center,4,"105,000","Airflow orchestration, Scala/Python",T4
355,Security Consulting,"DevSecOps, Penetration Testing, Risk Assessment",Urban Center,5,"160,000","CISSP/CISM, ISO 27001, Consulting Experience",T4
356,Product Management,"SaaS, Agile/Scrum, User Story Mapping, UX/UI",Urban Center,8,"195,000","Technology background, Market Analysis",T4
357,LLM Engineer,"Generative AI, Hugging Face, Fine-tuning Models",Urban Center,3,"210,000","Deep Learning Frameworks, NLP Research",T4
358,Quantum Computing,"Qiskit/Cirq, Linear Algebra, Quantum Algorithms",Virtual/MNC,5,"280,000","Theoretical Physics background, Research papers",T5
359,Bio-informatics Data Science,"Genomic Data, Python (Biopython), Statistical Modeling",Urban Center,6,"155,000","Molecular Biology knowledge, High-Performance Computing",T5
360,AR/VR Developer,"Unity/Unreal Engine, C#, 3D Modeling",Urban Center,4,"95,000","Portfolio of immersive projects, UX/Interaction Design",T5
361,Chief Information Security Officer (CISO),"Enterprise Security Strategy, GRC, Crisis Management",Urban Center,15,"400,000","PhD/MBA, Extensive regulatory compliance",T5
362,Cloud Security Architect,"AWS/Azure/GCP Security, Compliance Automation",Urban Center,8,"230,000","CCSP/AWS Security Specialty, Threat Modeling",T4
363,"Governance, Risk, & Compliance (GRC) Analyst","IT Audit, NIST/ISO Frameworks, Policy Implementation",Urban Center,4,"115,000","CISA/CGEIT, Excellent report writing",T4
364,SAP Basis Administrator,"SAP HANA DB, System Monitoring, OS/DB Migration",Urban Center,5,"135,000","Unix/Linux, Disaster Recovery Planning",T4
365,ERP Functional Consultant,"Oracle e-Business Suite (SCM), Process Mapping",Urban Center,6,"150,000","Strong business process acumen, Supply Chain focus",T4
366,Database Administrator (DBA) - Senior,"PostgreSQL/NoSQL, Performance Tuning, Scaling",Urban Center,8,"165,000","Replication strategies, Cloud database services",T4
367,Edge Computing Engineer,"IoT/Sensor Data, Microservices, Low-latency Networking",Urban Center,4,"140,000","Telecommunication background, MQTT Protocol",T4
368,Generative AI Content Specialist,"Prompt Engineering, Content Strategy, Midjourney/DALL-E",Remote,3,"85,000","Creative Writing, Data Visualization",T5
369,Site Reliability Engineer (SRE),"Chaos Engineering, Observability Tools (Prometheus/Grafana)",Urban Center,7,"180,000","Automation Scripting (Python/Go), Incident Response",T5
370,Robotics Process Automation (RPA) Developer,"UiPath/Blue Prism, Process Documentation",Urban Center,3,"90,000","Business Analysis, Financial Services domain",T4
371,MEAL & KM Officer (NGO),"M&E Systems, Data Analysis (Stata/R), Knowledge Management",Regional Town,5,"65,000","Development Sector experience, Field Data Collection",T4
372,ICT Co-Trainer (NGO Project),"Basic Computer Literacy, Android Applications, Training",Rural,2,"35,000","Strong communication, Local language proficiency",T3
373,Project Coordinator (Data Systems),"Project Management, Donor Reporting, MIS Implementation",Urban Center,7,"95,000","PMP/PRINCE2, Experience with UN/International Donor",T3
374,Data Mobilization Specialist,"Mobile Data Collection (ODK/Kobo), GIS Mapping",Regional Town,3,"55,000","Community engagement, GPS/Mapping tools",T3
375,IT Support Specialist (NGO Field Office),"Hardware/Networking Troubleshooting, Helpdesk",Rural,4,"45,000","Basic Server Administration, VSAT/Remote comms",T3
376,GIS Data Manager (LGED),"ArcGIS, Spatial Database, Urban Planning Data",Urban Center,6,"75,000","Cartography, Civil Engineering/Surveying background",T3
377,System Analyst (Public Health),"Health MIS, Data Standards (HL7/FHIR), Requirement Analysis",Urban Center,5,"85,000","Public Health background, Government liaison",T3
378,Steno-Typist-cum-Computer Operator (Govt),"Typing (Bangla/English), File Management, Basic MS Office",Urban Center,10,"40,000","High typing speed, Confidentiality",T3
379,Computer Operator (Municipal Corp.),"Data Entry, Record Keeping (Digital & Paper)",Regional Town,3,"30,000","Basic hardware maintenance, 2015-era role",T2
380,Senior Network Engineer (ISP),"BGP/OSPF, Cisco/MikroTik, Network Security",Urban Center,8,"130,000","CCIE/JNCIE certification, Telecom tower comms",T1
381,Full Stack Developer (FinTech),"MERN/MEAN Stack, Security Best Practices, Payment Gateway",Urban Center,5,"160,000","Microservices, High-availability architecture",T4
382,Cybersecurity Analyst (Entry-Level),"SIEM Monitoring, Incident Triage, Vulnerability Scanning",Urban Center,1,"55,000","Security+/CEH, Scripting (Bash/Python)",T4
383,Digital Transformation Lead,"Change Management, Business Process Re-engineering, Cloud",Urban Center,12,"260,000","MBA/Executive Education, Cross-functional leadership",T4
384,UX/UI Designer,"Figma/Sketch, Design Thinking, User Research",Urban Center,4,"90,000","Prototyping, A/B Testing",T4
385,Mobile App Developer (iOS/Swift),"iOS SDK, Native App Development, Push Notifications",Urban Center,6,"140,000","Performance optimization, App Store deployment",T2
386,Cloud DevOps Engineer (Associate),"Docker, CI/CD, Scripting (Python), Basic Cloud Services",Urban Center,2,"65,000","Cloud certification (associate level), Version Control",T2
387,Legacy System Developer (2015),"COBOL/Fortran, Mainframe, System Maintenance",Urban Center,15,"120,000","Banking/Insurance sector experience, Deep institutional knowledge",T4
388,Blockchain Developer,"Smart Contracts (Solidity), Ethereum/Hyperledger, Cryptography",Urban Center,4,"175,000","DeFi/FinTech focus, Security Auditing",T1
389,IoT Platform Engineer,"M2M Communication, Sensor Integration, Data Stream Processing",Urban Center,6,"150,000","Real-time analytics, Industrial IoT (IIoT)",T5
390,Technical Writer,"API Documentation, Confluence/Jira, Software Development Lifecycle",Remote,3,"50,000","Excellent English proficiency, Markdown/REST API",T5
391,E-commerce Manager (Tech Focus),"Shopify/WooCommerce, Digital Marketing (SEO/PPC), Analytics",Urban Center,5,"110,000",Inventory Management Systems integration,T2
392,Web Designer (2015 Role),"HTML, CSS, Photoshop, Basic JavaScript",Regional Town,3,"35,000","Focus on static sites, Browser compatibility",T3
393,Junior Frontend Developer,"React/Vue/Angular, Responsive Design, State Management",Urban Center,1,"45,000","Strong portfolio, Git usage",T1
394,Data Entry Specialist (Remote),"High WPM, Data Accuracy, MS Excel/Google Sheets",Remote,2,"28,000","Attention to detail, Time management",T2
395,IT Helpdesk Technician,"Windows/Linux Support, Ticketing System, Remote Assistance",Urban Center,2,"40,000","Customer service skills, Hardware/Software repair",T2
396,Senior QA Engineer,"Automated Testing (Selenium/Cypress), Performance Testing",Urban Center,7,"125,000","Test Strategy Definition, Mentorship",T1
397,System Administrator (On-Premises),"Active Directory, Windows Server, Virtualization (VMware)",Urban Center,5,"95,000","Backup/Recovery Solutions, PowerShell scripting",T2
398,Technical Sales Engineer,"Product Demos, Pre-sales Consulting, IT Solution selling",Urban Center,4,"115,000","Excellent presentation skills, Technical depth",T1
399,Senior Software Engineer (2020),"Java/Spring Boot, Relational Databases, Agile Methodology",Urban Center,7,"130,000","Code review, System architecture knowledge",T3
400,Junior MLOps Engineer,"Kubeflow/MLflow, Cloud Deployment (SageMaker/Vertex AI)",Urban Center,1,"75,000","Containerization (Docker), Python ecosystem",T2
,,,,,,,T5
